# wavelength  elem  eqw 
 4062.937  CeII    31.891 
 4063.176   CoI    55.056 
 4063.270   FeI   143.697 
 4063.384  GdII    43.497 
 4063.530   MnI   150.785 
 4063.594   FeI  2324.429 
 4063.627   FeI   120.180 
 4063.921    VI    44.101 
 4064.070   FeI    97.473 
 4064.154   ZrI    62.316 
 4064.212   TiI   130.052 
 4064.213   TiI    41.891 
 4064.366  TiII    53.988 
 4064.369   NiI    66.545 
 4064.453   FeI   133.659 
 4064.554  SmII    38.824 
 4064.579  SmII    39.992 
 4065.071   MnI    52.464 
 4065.094   TiI   133.079 
 4065.383   FeI   126.801 
 4065.421   CaI    66.151 
 4066.021   FeI    49.400 
 4066.120   FeI    84.570 
 4066.323   CoI    49.372 
 4066.326   CoI    66.847 
 4066.326   CoI    49.372 
 4066.326   CoI     7.777 
 4066.330   CoI    74.878 
 4066.330   CoI    66.847 
 4066.330   CoI    30.608 
 4066.337   CoI    78.516 
 4066.337   CoI    74.878 
 4066.337   CoI    57.266 
 4066.345   CoI    78.895 
 4066.345   CoI    78.517 
 4066.345   CoI    76.989 
 4066.356   CoI    90.512 
 4066.356   CoI    78.895 
 4066.356   CoI    75.326 
 4066.369   CoI   100.687 
 4066.369   CoI    75.327 
 4066.369   CoI    63.318 
 4066.384   CoI   108.885 
 4066.384   CoI    63.318 
 4066.586   FeI   142.029 
 4066.797   NiI    37.939 
 4066.856   CrI    30.944 
 4066.940   CrI    48.298 
 4066.975   FeI   189.482 
 4067.023   VII    79.637 
 4067.031  NiII    45.587 
 4067.271   FeI   191.820 
 4067.380  LaII    65.222 
 4067.487   FeI    69.497 
 4067.600   FeI    66.393 
 4067.841   FeI    75.389 
 4067.976    VI    54.330 
 4067.978   FeI   219.510 
 4067.995   MnI    16.662 
 4067.997   MnI    32.516 
 4068.001   MnI    32.516 
 4068.002   MnI     1.189 
 4068.004   MnI    39.933 
 4068.010   MnI    39.933 
 4068.012   MnI    30.327 
 4068.014   MnI    34.133 
 4068.022   MnI    34.134 
 4068.024   MnI    63.140 
 4068.133   TiI    57.184 
 4068.324  SmII    54.458 
 4068.539   CoI   101.884 
 4068.840  CeII    33.229 
 4069.010   TiI    42.833 
 4069.064   FeI    96.065 
 4069.280  NdII    46.396 
 4069.608   FeI    57.746 
 4070.008   FeI    54.312 
 4070.262   MnI    87.173 
 4070.275   MnI   112.589 
 4070.276   MnI   112.589 
 4070.290   MnI   108.248 
 4070.441   FeI    47.672 
 4070.688   TiI    30.781 
 4070.760    VI    45.884 
 4070.766   FeI    96.929 
 4070.770   FeI   179.162 
 4071.078  ZrII    67.851 
 4071.200   TiI    40.004 
 4071.480   TiI    32.358 
 4071.520   FeI   133.369 
 4071.525    VI    46.592 
 4071.740   FeI  1667.781 
 4071.775  CeII    69.242 
 4071.901   FeI    70.552 
 4072.327   FeI    70.563 
 4072.498   FeI   123.842 
 4072.702   ZrI    79.134 
 4072.918  CeII    35.278 
 4073.121  DyII    58.918 
 4073.480  CeII    80.323 
 4073.760   FeI   165.990 
 4074.052   CrI    64.311 
 4074.351   TiI    42.387 
 4074.357    WI    32.478 
 4074.665   FeI   104.442 
 4074.699   FeI    43.710 
 4074.782   FeI   160.032 
 4074.889   NiI    89.135 
 4075.058   MgI    47.516 
 4075.101   FeI    85.124 
 4075.112  NdII    68.136 
 4075.272  NdII    63.801 
 4075.700  CeII    70.901 
 4075.850  CeII    54.543 
 4075.937  FeII    99.251 
 4076.052   CrI    34.347 
 4076.123   CoI   101.748 
 4076.213   FeI   114.252 
 4076.360   TiI    88.360 
 4076.485   FeI   142.520 
 4076.626   FeI   194.739 
 4076.650   ZrI   115.423 
 4076.792   FeI   140.695 
 4076.870  CrII    57.204 
 4077.038  ZrII    32.896 
 4077.074   CrI    69.505 
 4077.136   TiI    43.681 
 4077.275   FeI    59.213 
 4077.323   CoI     0.954 
 4077.325   CoI     1.491 
 4077.329   CoI     1.579 
 4077.332   CoI     1.540 
 4077.334   CoI     0.954 
 4077.339   CoI     1.993 
 4077.342  LaII    84.859 
 4077.343   CoI     2.104 
 4077.346   CoI     1.579 
 4077.352   CoI     2.197 
 4077.356   CoI     1.714 
 4077.356   CoI     0.150 
 4077.357   CoI     3.063 
 4077.360    YI    97.607 
 4077.361   CoI     1.993 
 4077.369   CoI     2.143 
 4077.375   CoI     4.459 
 4077.380   CoI     2.197 
 4077.390   CoI     1.800 
 4077.396   CoI     6.313 
 4077.402   CoI     2.143 
 4077.413   CoI     1.105 
 4077.421   CoI     8.666 
 4077.428   CoI     1.800 
 4077.449   CoI    11.503 
 4077.457   CoI     1.105 
 4077.467  CeII    46.382 
 4077.684   CrI    32.450 
 4077.966  DyII    94.994 
 4078.320  CeII    35.465 
 4078.324  CeII    42.943 
 4078.350   FeI   179.403 
 4078.423   FeI    49.723 
 4078.443  GdII    39.423 
 4078.470   TiI   149.286 
 4078.808   FeI    67.965 
 4079.169   FeI   137.704 
 4079.217   MnI    47.603 
 4079.235   MnI   164.219 
 4079.420   MnI   160.119 
 4079.702   TiI    57.101 
 4079.721   NbI    73.635 
 4079.806   CrI    80.547 
 4079.840   FeI   171.058 
 4080.216   FeI   144.633 
 4080.230  NdII    91.934 
 4080.438  CeII    34.854 
 4080.440  CeII    45.118 
 4080.594   RuI    66.210 
 4080.874   FeI   114.542 
 4081.219   ZrI    67.189 
 4081.220   ZrI    67.990 
 4081.220  CeII    46.895 
 4081.223   FeI   111.712 
 4082.108   FeI   118.417 
 4082.390   ScI   126.273 
 4082.440   FeI    90.643 
 4082.460   TiI   124.371 
 4082.590   CoI    86.029 
 4082.940   MnI   165.039 
 4083.230  CeII    81.393 
 4083.553   FeI   118.894 
 4083.630   MnI   156.665 
 4083.630   FeI    55.228 
 4083.700   FeI    41.821 
 4083.703    YI    53.146 
 4083.763   FeI   118.412 
 4084.074   CaI    41.307 
 4084.490   FeI   206.744 
 4085.000   FeI   151.675 
 4085.230  CeII    68.276 
 4085.248   FeI    79.109 
 4085.300   FeI   144.177 
 4085.380  EuII    60.939 
 4085.558  GdII    41.072 
 4085.560  GdII    40.139 
 4085.720  ZrII    34.190 
 4085.980   FeI    77.874 
 4086.145   FeI    84.502 
 4086.288   CoI    75.690 
 4086.288   CoI    64.400 
 4086.289   CoI    84.264 
 4086.289   CoI    48.794 
 4086.292   CoI    91.160 
 4086.292   CoI    27.151 
 4086.302   CoI    40.776 
 4086.304   CoI    52.186 
 4086.307   CoI    25.760 
 4086.308   CoI    57.800 
 4086.313   CoI    59.148 
 4086.314   CoI    27.152 
 4086.319   CoI    55.831 
 4086.323   CoI    24.816 
 4086.327   CoI    43.805 
 4086.333   CoI    19.705 
 4086.344   CoI    12.708 
 4086.357   CoI     5.305 
 4086.420  CeII    73.151 
 4086.720  LaII    99.583 
 4086.836   FeI    64.440 
 4087.090   FeI   132.510 
 4087.362  CeII    31.026 
 4087.780   FeI    46.508 
 4087.789   FeI    36.102 
 4088.570   FeI   106.760 
 4088.990   FeI    39.237 
 4089.049   FeI    75.929 
 4089.220   FeI   127.211 
 4089.940   MnI    33.228 
 4090.090   FeI   110.046 
 4090.335   FeI    88.466 
 4090.510  ZrII    79.528 
 4090.512    VI    36.638 
 4090.580    VI   126.201 
 4090.953   FeI   112.541 
 4091.550   FeI   126.281 
 4091.992   CaI    66.297 
 4092.253  SmII    35.412 
 4092.277   FeI   109.353 
 4092.281   FeI    77.014 
 4092.292    VI    32.626 
 4092.349   CoI    91.302 
 4092.351   CoI   104.247 
 4092.351   CoI    91.302 
 4092.351   CoI    32.104 
 4092.356   CoI   110.274 
 4092.356   CoI   104.247 
 4092.356   CoI    74.425 
 4092.363   CoI   113.101 
 4092.363   CoI   110.274 
 4092.363   CoI    97.226 
 4092.371   CoI   113.400 
 4092.371   CoI   113.101 
 4092.371   CoI   111.906 
 4092.382   CoI   122.998 
 4092.382   CoI   113.400 
 4092.382   CoI   110.619 
 4092.385    VI    12.233 
 4092.385    VI    12.233 
 4092.385    VI     6.442 
 4092.388    VI    17.052 
 4092.388    VI    16.195 
 4092.388    VI     8.441 
 4092.392    VI    27.633 
 4092.392    VI    17.324 
 4092.392    VI     4.896 
 4092.395   CoI   132.198 
 4092.395   CoI   110.619 
 4092.395   CoI   101.657 
 4092.398    VI    39.467 
 4092.398    VI    12.515 
 4092.398    VI     1.874 
 4092.411   CoI   140.293 
 4092.411   CoI   101.657 
 4092.460   FeI   139.138 
 4092.630   CaI   115.229 
 4092.690    VI   136.423 
 4092.720  CeII    49.531 
 4092.853   CoI    55.728 
 4093.155  HfII    38.058 
 4093.500    VI    51.054 
 4093.620   NiI    58.006 
 4094.437   FeI    40.988 
 4094.930   CaI   135.927 
 4094.960   CaI    76.170 
 4095.270   FeI    52.733 
 4095.356   FeI    75.015 
 4095.490    VI   108.078 
 4095.627   FeI    54.886 
 4095.749   FeI    42.615 
 4095.927   CoI    32.720 
 4095.970   FeI   192.021 
 4096.113   FeI    99.729 
 4096.124  NdII    42.748 
 4096.211   FeI   120.378 
 4096.227   TiI    35.614 
 4096.478   NiI    47.202 
 4096.630  ZrII    39.047 
 4096.654   FeI    78.712 
 4096.696   FeI    79.833 
 4096.732   FeI    52.909 
 4096.950   FeI    94.724 
 4097.017   FeI    40.987 
 4097.072   MnI    30.920 
 4097.083   FeI   120.738 
 4097.659   CrI    59.289 
 4097.886   CrI    86.813 
 4097.937   CrI    61.990 
 4098.015   CrI    49.269 
 4098.174  NdII    35.778 
 4098.180   FeI   168.959 
 4098.528   CaI   143.785 
 4098.575   CaI    89.081 
 4098.599  GdII    53.022 
 4098.639   FeI    52.342 
 4099.012   CrI    37.175 
 4099.051   FeI    66.955 
 4099.170   TiI    83.735 
 4099.777    VI   161.240 
 4099.982   FeI    79.104 
 4100.165   FeI   108.369 
 4100.202    VI    98.213 
 4100.238   FeI   119.299 
 4100.240  NdII    37.577 
 4100.347   FeI    53.222 
 4100.349   FeI    32.155 
 4100.717  PrII    58.596 
 4100.740   FeI   184.587 
 4100.909   FeI    34.021 
 4100.915   NbI    61.563 
 4101.097   FeI    51.874 
 4101.156   CrI    33.370 
 4101.270   FeI   116.952 
 4101.334    VI    34.432 
 4101.652   FeI    81.163 
 4101.680   FeI   126.495 
 4101.769  CeII    40.122 
 4102.160    VI   113.337 
 4102.369    YI   102.740 
 4102.940   SiI   163.875 
 4103.298   FeI    38.960 
 4103.306  DyII    75.366 
 4103.452   NiI    74.468 
 4103.611   FeI    66.147 
 4103.634   FeI    47.512 
 4104.112   FeI   158.062 
 4104.132   FeI   140.093 
 4104.421    VI    43.418 
 4104.450   FeI    66.930 
 4104.736   CoI    72.243 
 4104.780    VI    90.214 
 4104.864   CrI    55.662 
 4104.970   FeI    83.537 
 4105.057   FeI    97.593 
 4105.170    VI   148.846 
 4105.370   MnI    38.507 
 4106.270   FeI   121.843 
 4106.440   FeI   109.050 
 4106.940   FeI    60.990 
 4107.209   FeI    93.819 
 4107.297   FeI    68.052 
 4107.423  CeII    48.119 
 4107.490   FeI   172.231 
 4108.130   FeI    79.641 
 4108.196    VI    33.695 
 4108.530   CaI   114.103 
 4108.907   FeI    80.153 
 4109.070   FeI   118.744 
 4109.080  NdII    51.301 
 4109.460  NdII    92.201 
 4109.580   CrI    77.192 
 4109.751    VI   147.539 
 4109.800   FeI   150.512 
 4110.042  ZrII    53.732 
